book_id,books_count,isbn,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5
1,272,439023483,Suzanne Collins,2008,The Hunger Games,"The Hunger Games (The Hunger Games, #1)",eng,4.34,4780653,66715,127936,560092,1481305,2706317
2,491,439554934,"J.K. Rowling, Mary GrandPré",1997,Harry Potter and the Philosopher's Stone,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",eng,4.44,4602479,75504,101676,455024,1156318,3011543
3,226,316015849,Stephenie Meyer,2005,Twilight,"Twilight (Twilight, #1)",en-US,3.57,3866839,456191,436802,793319,875073,1355439
4,487,61120081,Harper Lee,1960,To Kill a Mockingbird,To Kill a Mockingbird,eng,4.25,3198671,60427,117415,446835,1001952,1714267
5,1356,743273567,F. Scott Fitzgerald,1925,The Great Gatsby,The Great Gatsby,eng,3.89,2683664,86236,197621,606158,936012,947718
6,226,525478817,John Green,2012,The Fault in Our Stars,The Fault in Our Stars,eng,4.26,2346404,47994,92723,327550,698471,1311871
7,969,618260307,J.R.R. Tolkien,1937,The Hobbit or There and Back Again,The Hobbit,en-US,4.25,2071616,46023,76784,288649,665635,1119718
8,360,316769177,J.D. Salinger,1951,The Catcher in the Rye,The Catcher in the Rye,eng,3.79,2044241,109383,185520,455042,661516,709176
9,311,1416524797,Dan Brown,2000,Angels & Demons ,"Angels & Demons  (Robert Langdon, #1)",en-CA,3.85,2001311,77841,145740,458429,716569,680175
10,3455,679783261,Jane Austen,1813,Pride and Prejudice,Pride and Prejudice,eng,4.24,2035490,54700,86485,284852,609755,1155673
11,283,1594480001,Khaled Hosseini,2003,The Kite Runner ,The Kite Runner,eng,4.26,1813044,34288,59980,226062,628174,929591
12,210,62024035,Veronica Roth,2011,Divergent,"Divergent (Divergent, #1)",eng,4.24,1903563,36315,82870,310297,673028,1114304
13,995,451524934,"George Orwell, Erich Fromm, Celâl Üster",1949,Nineteen Eighty-Four,1984,eng,4.14,1956832,41845,86425,324874,692021,908229
14,896,452284244,George Orwell,1945,Animal Farm: A Fairy Story,Animal Farm,eng,3.87,1881700,66854,135147,433432,698642,648912
15,710,553296981,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,The Diary of a Young Girl,eng,4.1,1972666,45225,91270,355756,656870,875372
